fox | 狐狸
giraffe | 长颈鹿
eagle | 鹰
wolf | 狼
penguin | 企鹅
care | 照顾；关心
sandwich | 三明治
snake | 蛇
scary | 吓人的；恐怖的
neck | 脖子
guess | 猜测；估计
shark | 鲨鱼
whale | 鲸
huge | 巨大的；极多的
dangerous | 危险的；有危害的
save | 救；储蓄；保存
luck | 幸运，运气
Thai | 泰国的；泰国人；泰语
trunk | 象鼻
pick | 捡；摘
pick up | 拿起；举起
carry | 拿；提
playful | 爱嬉戏的；爱玩的
swimmer | 游泳者
one another | 互相
look after | 照顾
take care of | 照顾
culture | 文化；文明
however | 然而；不过
danger | 危险
in danger | 处于危险之中
forest | 森林
cut down | 砍伐；砍倒
too many | 太多（+可数复数）
too much | 太多（+不可数）
kill | 杀死；弄死
made of | 由……制成的
ivory | 象牙
friendly | 友好的
quite | 相当；完全
quite a | 相当；非常
not...at all | 一点也不
fur | (动物)厚软毛
deaf | 聋的
blind | 瞎的；失明的
hearing | 听力；听觉
Antarctica | 南极洲
Africa | 非洲
rule | 规则；规章
order | 秩序；点菜
follow | 遵循；跟随
be late (for) | 迟到
arrive | 到达
on time | 准时
hallway | 走廊
uniform | 校服；制服
litter | 乱扔；垃圾
polite | 有礼貌的
treat | 对待；招待；治疗
respect | 尊敬
if | 如果
jacket | 夹克衫；短上衣
have to | 不得不
everything | 每件事
lend | 借给；借出
sweet | 糖果；甜的
snack | 点心；小吃
of course | 当然
mobile | 可移动的
mobile phone | 手机
turn off | 关掉（水、电或煤气）
queue | 队；行列
jump the queue | 插队
wait for | 等待
just | 只是；正好
leave | 离开；留下
absent | 缺席的；不在的
be absent from | 缺席；不在
shh | 嘘（用以让别人安静下来）
quietly | 轻声地；安静地
belt | 安全带；腰带；皮带
feed | 喂养；饲养
noise | 声音；噪声
unhappy | 不快乐的
Dr (= doctor) | 博士；医生
either | 也（用于否定词组后）
practise | 训练；练习
hang | 悬挂
hang out | 闲逛；常去某处
weekday | 工作日（周一至周五）
awful | 糟糕的
become | 成为
better | 较好；较好地
person | 人
focus | 集中（注意力、精力等）；焦点
focus on | 集中（注意力、精力等）于
build | 创建；建造
spirit | 精神；情绪
think about | 思考
relax | 放松；休息
advice | 建议；意见
understand | 理解；领会
untidy | 不整洁的
fit | 健康的；健壮的；适合
baseball | 棒球（运动）
glove | （手指分开的）手套
mat | （运动用的）垫子
rope | 绳子；粗绳
jump rope | 跳绳用的绳子；跳绳（运动）
racket | （网球、羽毛球等的）球拍
hardly | 几乎不；几乎没有
ever | 在任何时候；从来；曾经
hardly ever | 几乎从不
once | 一次；曾经
twice | 两次；两倍
mine | 我的（所有物）
hers | 她的（所有物）
maybe | 也许；大概
well-used | 使用得多的
practice | 练习；实践
perfect | 完美的；极好的
seldom | 很少；不常
badminton | 羽毛球运动
sometime | 在某个时候
double | 双打；两倍；成双的；两倍的
volleyball | 排球（运动）
theirs | 他们的，她们的，它们的（所有物）
over there | 在那边
T-shirt | T恤衫
belong | 应在（某处）
belong to | 属于（某人）
at the start | 开始；起初
still | 还；仍然
sleepy | 困倦的；想睡的
instead | 代替
group | 组；群
skateboard | 滑板
encourage | 鼓励；激励
jog | 慢跑
few | （表示否定的）很少的；几乎没有的
a few | 少数；几个
excuse | 原谅；宽恕
excuse me | 劳驾；请原谅
trick | 技巧，戏法
succeed | 成功；达到目标
skateboarding | 滑板运动
goal | 目标；目的
sit-up | 仰卧起坐
work out | 锻炼
app | 应用程序
progress | 进步；进展
match | 比赛；竞赛
team | 队；组
ours | 我们的（所有物）
lose | 输掉；丢失
teenager | 青少年（13岁至19岁之间）
watermelon | 西瓜
mutton | 羊肉
cabbage | 卷心菜
cookie | 曲奇饼
onion | 洋葱；葱头
dumpling | 饺子
coffee | 咖啡
bean | 豆
chip | 炸薯条
fish and chips | 炸鱼薯条
salad | 沙拉；色拉
porridge | 粥；麦片粥
waiter | （男）服务员
What about...? | ......怎么样？
taste | 有......味道；尝；味道
anything | 某物；任何事物
dish | 一道菜；盘
choice | 选择
meal | 一餐所吃的食物；早（午、晚）餐
